x,y,u,v,p,vMag
5.40989889e-01,1.63876266e-01,1.67970824e+00,-1.86481869e+00,1.05477548e+00,2.50977445e+00
4.46924300e-01,3.71714602e-01,-4.91413921e-01,-1.21490359e+00,-1.40400386e+00,1.31052601e+00
-3.38860540e-01,-1.72183089e-01,5.02870798e-01,6.66959137e-02,2.65625417e-01,5.07274508e-01
5.61164692e-01,3.36280249e-01,1.90226340e+00,-2.12674046e+00,1.01231802e+00,2.85335445e+00
1.67221443e-01,-3.55463150e-01,2.82310963e-01,7.28562474e-03,-6.20970689e-02,2.82404959e-01
2.26014683e-01,-3.00065186e-01,1.89065412e-01,-8.97073746e-01,-8.01506102e-01,9.16780829e-01
5.42100933e-01,3.67564807e-01,1.55286825e+00,-2.09567976e+00,5.12469947e-01,2.60830855e+00
6.11174555e-01,-3.25872378e-01,2.90429139e+00,-2.00749636e+00,1.94964015e+00,3.53057361e+00
-3.09856841e-01,2.23201489e-01,6.66405559e-01,1.62185624e-01,1.16567659e+00,6.85857534e-01
-3.58528336e-01,-2.17822929e-01,4.94468004e-01,6.03361130e-02,2.55847216e-01,4.98135567e-01
-8.82198656e-02,-2.54284420e-01,7.55432010e-01,2.35678926e-01,1.13878870e+00,7.91341960e-01
-2.74648975e-01,2.14132705e-01,6.30510569e-01,1.03162095e-01,1.08863389e+00,6.38894320e-01
-1.97347510e-01,-5.58667107e-02,7.59529710e-01,2.37981632e-01,1.13583958e+00,7.95940101e-01
3.88741881e-02,3.27063416e-01,8.29419017e-01,-5.83914816e-01,2.57240367e+00,1.01434338e+00
6.20019710e-02,1.38043731e-01,2.62944877e-01,-1.66407526e-02,-3.90163898e-01,2.63470918e-01
1.43411607e-01,3.64065838e-01,6.32900357e-01,-9.90659967e-02,1.27918231e+00,6.40606701e-01
6.13651237e-01,3.49804890e-01,2.71799278e+00,-2.28750348e+00,1.60994446e+00,3.55248618e+00
-4.96245410e-02,-1.07624209e-01,7.29835033e-01,2.24716946e-01,1.17568398e+00,7.63647079e-01
3.61550358e-01,2.79358411e-01,-1.08595401e-01,-2.79804617e-01,-3.32021892e-01,3.00139278e-01
2.15717274e-01,-2.64310441e-01,2.64531434e-01,-9.22586560e-01,-8.59107375e-01,9.59761858e-01
-2.75983123e-01,-3.05890193e-02,7.75673747e-01,2.42580727e-01,5.99604189e-01,8.12720835e-01
6.17759221e-01,2.41280859e-02,2.89545727e+00,-2.08954406e+00,1.89083970e+00,3.57069540e+00
-1.74752315e-01,-1.35500133e-01,8.12129021e-01,2.53954172e-01,9.88380849e-01,8.50909054e-01
7.95595893e-02,-3.39131841e-01,6.58304572e-01,1.30678639e-01,1.12585664e+00,6.71149611e-01
-2.78833336e-01,2.77210284e-01,6.67306066e-01,1.62394062e-01,1.16558158e+00,6.86781764e-01
